osm_id,fclass,name,type,coordenates
483307168,river,Rio Mumbaba,waterway,"[[-7.18969, -34.942708], [-7.189649, -34.94255], [-7.189632, -34.942356], [-7.189678, -34.942098], [-7.189782, -34.941876], [-7.189887, -34.941723], [-7.190005, -34.941543], [-7.190084, -34.941381], [-7.190127, -34.941269], [-7.190178, -34.940835]]"
483512641,stream,Riacho Água Boa,waterway,"[[-7.2363529, -34.8985428], [-7.2362726, -34.8982428], [-7.2362537, -34.8980428], [-7.236197, -34.8978571], [-7.2361025, -34.8976904], [-7.2360505, -34.8974666], [-7.2359938, -34.8971856]]"
47189930,residential,Rua Lygia Guedes,road,"[[-7.1283459, -34.8439948], [-7.1288655, -34.8439595]]"
43041961,river,Rio Gramame,waterway,"[[-7.2251198, -34.929248], [-7.2243244, -34.9286593], [-7.2235448, -34.9274201], [-7.2217607, -34.9237252], [-7.2198792, -34.9196525], [-7.2184175, -34.9169777], [-7.2179977, -34.9165017], [-7.2165434, -34.9152851], [-7.2141236, -34.9133995], [-7.2133656, -34.9127805], [-7.2130924, -34.9122406], [-7.2129803, -34.9120504], [-7.2125246, -34.9088801], [-7.2120976, -34.9064585], [-7.2123412, -34.9054054], [-7.2124681, -34.9051719]]"
47467505,river,Rio Jaguaribe,waterway,"[[-7.167005, -34.8859219], [-7.1666644, -34.8861687], [-7.166494, -34.886394], [-7.1663237, -34.8865549], [-7.1661321, -34.8867158], [-7.1656424, -34.8865549], [-7.1649079, -34.8865549], [-7.1646205, -34.8867051]]"
47977233,stream,Rio Preto,waterway,"[[-7.13139, -34.9739505], [-7.1312836, -34.9740578], [-7.1310706, -34.9740685], [-7.1308364, -34.9739183], [-7.1306555, -34.9736715], [-7.1304532, -34.9735857]]"
52887009,canal,Rio Jaguaribe,waterway,"[[-7.0847517, -34.8473601], [-7.0853744, -34.8473799], [-7.0873568, -34.8472618], [-7.08785, -34.8471992], [-7.0882542, -34.8471677], [-7.0887468, -34.8471744], [-7.0893402, -34.8472128], [-7.0896105, -34.847231], [-7.0897908, -34.8471933], [-7.0904143, -34.8470561], [-7.0916555, -34.846892], [-7.0923103, -34.8468261], [-7.0926239, -34.8468177], [-7.0931066, -34.8468832], [-7.0934404, -34.8468372], [-7.0940146, -34.8466409], [-7.0951001, -34.846293], [-7.096062, -34.8460993], [-7.0966827, -34.8459097], [-7.0972161, -34.8456464], [-7.0978193, -34.8454436]]"
128230998,river,Rio Cuiá,waterway,"[[-7.1911991, -34.8836359], [-7.1912072, -34.8835145], [-7.1912052, -34.8834199], [-7.1911705, -34.883315], [-7.1911052, -34.8832636], [-7.190942, -34.8832533], [-7.1908971, -34.8832142], [-7.1908767, -34.8831423], [-7.1908726, -34.8830456], [-7.1909154, -34.8830045], [-7.1909236, -34.8829674], [-7.1909052, -34.8829263], [-7.1907644, -34.8827885], [-7.1906277, -34.8825828], [-7.1906155, -34.8824821], [-7.1906318, -34.882408], [-7.1906787, -34.8823504], [-7.1907583, -34.8822784], [-7.1909032, -34.8821674], [-7.1909215, -34.8821304], [-7.1909073, -34.8821057], [-7.1908542, -34.8820645], [-7.1908501, -34.8820275], [-7.1908716, -34.8817967], [-7.1908665, -34.8811488], [-7.1909149, -34.8809303], [-7.1909583, -34.8808274], [-7.1909583, -34.8807452], [-7.1909481, -34.8806526], [-7.190869, -34.8805652], [-7.1907134, -34.8804881], [-7.1906675, -34.8804187], [-7.1906267, -34.8801179]]"
224242352,river,Rio Paraíba,waterway,"[[-7.0598919, -34.864542], [-7.0545523, -34.8616102], [-7.0493583, -34.8597627], [-7.0433085, -34.859426]]"
224242453,river,Rio Jaguaribe,waterway,"[[-7.1003739, -34.8445459], [-7.1000465, -34.8446806], [-7.0998061, -34.8448387], [-7.0995951, -34.8451168], [-7.0994336, -34.8453678], [-7.0993025, -34.8457024], [-7.0992683, -34.8460508], [-7.0993179, -34.8465206], [-7.0994233, -34.8468019], [-7.0996183, -34.8474093], [-7.0996685, -34.8477363]]"
224244588,canal,Rio Jaguaribe,waterway,"[[-7.0979472, -34.8454007], [-7.098094, -34.8453513], [-7.1003739, -34.8445459]]"
38264542,secondary,Rua Tito Silva,road,"[[-7.1195858, -34.8370416], [-7.1197334, -34.8370618], [-7.1198197, -34.8370498], [-7.1198998, -34.8370443], [-7.1199829, -34.8370213], [-7.1201429, -34.8370003], [-7.1203398, -34.8369717], [-7.1210062, -34.8369001], [-7.1221382, -34.8367619], [-7.122228, -34.8367507], [-7.1230614, -34.8366577]]"
61774297,river,Rio Gramame,waterway,"[[-7.2283942, -34.8587166], [-7.2284019, -34.8585467], [-7.2284593, -34.858402], [-7.2285989, -34.8582487], [-7.2286929, -34.8581976], [-7.2293741, -34.8582298], [-7.2300553, -34.8578543], [-7.2304597, -34.8572535], [-7.2307684, -34.8563523], [-7.2310664, -34.8559231], [-7.2318008, -34.8555154], [-7.2321733, -34.8551936], [-7.2322372, -34.8549658], [-7.2322497, -34.8548523], [-7.232184, -34.8547429], [-7.2317476, -34.8543138], [-7.2313644, -34.8540992], [-7.2309706, -34.853831], [-7.2308535, -34.8534555], [-7.2310238, -34.8530478], [-7.2313325, -34.8525865], [-7.2315454, -34.8521358], [-7.2316624, -34.8514277], [-7.2316412, -34.8507625], [-7.2317263, -34.8504621], [-7.2319392, -34.8502583], [-7.2321733, -34.8503978], [-7.2323476, -34.8506753], [-7.2325671, -34.8511166], [-7.2328119, -34.8513097], [-7.2331312, -34.8514385], [-7.233557, -34.8515136], [-7.2340572, -34.8511595], [-7.2345787, -34.8507947], [-7.2349619, -34.8503012], [-7.2349193, -34.849915], [-7.2346, -34.8496789], [-7.2340679, -34.8493893], [-7.2336847, -34.8490245], [-7.2336434, -34.8489608], [-7.2333228, -34.8484666], [-7.23311, -34.8478658], [-7.2328545, -34.8475439], [-7.2323011, -34.8472542], [-7.2318753, -34.8467714], [-7.2317157, -34.8462243], [-7.2319072, -34.8453981], [-7.2322585, -34.8450333], [-7.2337001, -34.8454571], [-7.2339206, -34.845609], [-7.2343101, -34.8459994], [-7.2345762, -34.8462483], [-7.2347934, -34.8463225], [-7.2349598, -34.8462763], [-7.2351003, -34.8459989], [-7.2351641, -34.8453445], [-7.2348342, -34.8446471], [-7.2346107, -34.8442716], [-7.2345468, -34.8438746], [-7.2347916, -34.8436171], [-7.2359092, -34.8433382], [-7.2365202, -34.8421879], [-7.236601, -34.841922], [-7.2365522, -34.8416997], [-7.2364201, -34.841525], [-7.2362914, -34.8414878], [-7.2361433, -34.8414392], [-7.235824, -34.8414499], [-7.2353029, -34.8414047], [-7.2348897, -34.8414744], [-7.2346816, -34.8414986], [-7.2345265, -34.8414543], [-7.2343051, -34.8412706], [-7.2341707, -34.8411257], [-7.2340928, -34.8409246], [-7.2340483, -34.8405866], [-7.2340337, -34.8402942], [-7.2340874, -34.8400703], [-7.2341667, -34.8398557], [-7.2342825, -34.8396009], [-7.2344067, -34.8394051], [-7.235024, -34.8389545], [-7.235634, -34.8386272], [-7.235867, -34.8385642], [-7.2361065, -34.8385615], [-7.236528, -34.8386836], [-7.2368933, -34.8389022], [-7.2370404, -34.8389518], [-7.2371602, -34.8389505], [-7.2372799, -34.8389089], [-7.2373869, -34.8388472], [-7.2374595, -34.8386112], [-7.2374515, -34.83841], [-7.2374268, -34.8382624], [-7.2373478, -34.8380573], [-7.2372512, -34.8378843], [-7.2370976, -34.837718], [-7.2367696, -34.8375007], [-7.2361469, -34.8372513], [-7.2348191, -34.8368544], [-7.2343536, -34.8367685], [-7.2341646, -34.8368034], [-7.2337681, -34.8369375], [-7.2333849, -34.8372379], [-7.2330656, -34.8377099], [-7.2328696, -34.8379862], [-7.2325973, -34.8382249], [-7.2323853, -34.8382678], [-7.232129, -34.8382035], [-7.2319161, -34.8378172], [-7.2318486, -34.8373822], [-7.231673, -34.8367732], [-7.2315285, -34.8363527], [-7.2311222, -34.8356307], [-7.2308667, -34.8343861], [-7.2307896, -34.8340214], [-7.230653, -34.8337577], [-7.2304916, -34.8336405], [-7.2303311, -34.8336102], [-7.2301688, -34.833629], [-7.2299993, -34.8336915], [-7.229618, -34.8338918], [-7.2294264, -34.8339696], [-7.2292808, -34.8339999], [-7.2291026, -34.8339811], [-7.2288729, -34.8338972], [-7.2286184, -34.8337451], [-7.2284871, -34.8336638], [-7.2283336, -34.8335386], [-7.2282183, -34.8333205], [-7.2281101, -34.8330236], [-7.2279097, -34.8321537], [-7.2278706, -34.8318675], [-7.2279185, -34.831543], [-7.2280108, -34.8313142], [-7.2283229, -34.8311246], [-7.228887, -34.8309636], [-7.2296534, -34.8308885], [-7.2305368, -34.8311889], [-7.2307888, -34.8311774], [-7.231037, -34.8310709], [-7.2312073, -34.8305238], [-7.2311985, -34.8301099], [-7.231069, -34.8298371], [-7.2307177, -34.8295474], [-7.2301217, -34.8293114], [-7.2298503, -34.8290639], [-7.2297486, -34.8288787]]"
72455531,river,Rio das Bombas,waterway,"[[-7.116923, -34.8656146], [-7.1163879, -34.8662827], [-7.1162888, -34.8670703], [-7.1158844, -34.8673236], [-7.1152376, -34.8675806], [-7.1147336, -34.8679562], [-7.1145056, -34.8682739], [-7.1138427, -34.8689222], [-7.1134763, -34.8690726], [-7.1132452, -34.8692501], [-7.1131736, -34.8694997], [-7.1130636, -34.8696661], [-7.1127016, -34.8697209], [-7.1123018, -34.8699595], [-7.1115922, -34.8701591], [-7.1114595, -34.8701415], [-7.1111957, -34.8701345], [-7.1108416, -34.8702744], [-7.1105153, -34.8703705], [-7.1101526, -34.8705839]]"
